title,category,rating,price_gbp,price_incl_tax,stock_quantity,in_stock,upc,price_range,rating_label
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,3,30.52,30.52,19,Yes,5674a18a29a43ced,Médio,Regular
Chase Me (Paris Nights #2),Romance,5,25.27,25.27,19,Yes,c2e46a2ee3b4a322,Médio,Excelente
Black Dust,Romance,5,34.53,34.53,19,Yes,00bfed9e18bb36f3,Médio,Excelente
Birdsong: A Story in Pictures,Childrens,3,54.64,54.64,19,Yes,9528d0948525bf5f,Caro,Regular
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,3,22.5,22.5,19,Yes,c7d160c2c0de586f,Médio,Regular
Aladdin and His Wonderful Lamp,Default,3,53.13,53.13,19,Yes,904208d6aa64b655,Caro,Regular
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,5,40.3,40.3,18,Yes,4c28def39d850cdf,Caro,Excelente
Wall and Piece,Art,4,44.18,44.18,18,Yes,ccd9ffa25efabdea,Caro,Bom
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,5,17.66,17.66,18,Yes,6258a1f6a6dcfe50,Barato,Excelente
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3,31.05,31.05,18,Yes,3c039985229453bf,Médio,Regular
The Elephant Tree,Thriller,5,23.82,23.82,18,Yes,5dada2b7be26bd03,Médio,Excelente
The Bear and the Piano,Childrens,1,36.89,36.89,18,Yes,9f6568e9c95f60b0,Médio,Péssimo
Sophie's World,Philosophy,5,15.94,15.94,18,Yes,6be3beb0793a53e7,Barato,Excelente
Penny Maybe,Default,3,33.29,33.29,18,Yes,668fe56b17cfcd4f,Médio,Regular
Maude (1883-1993):She Grew Up with the country,Default,2,18.02,18.02,18,Yes,094b269567e1c300,Barato,Ruim
"In a Dark, Dark Wood",Mystery,1,19.63,19.63,18,Yes,19ed25f4641d5efd,Barato,Péssimo
Behind Closed Doors,Thriller,4,52.22,52.22,18,Yes,be5cc846f45496fb,Caro,Bom
You can't bury them all: Poems,Poetry,2,33.63,33.63,17,Yes,55f9da0c5eea2e10,Médio,Ruim
Slow States of Collapse: Poems,Poetry,3,57.31,57.31,17,Yes,b4fd5943413e089a,Caro,Regular
Reasons to Stay Alive,Nonfiction,2,26.41,26.41,17,Yes,c8f7f0cb1abb9cac,Médio,Ruim
Private Paris (Private #10),Fiction,5,47.61,47.61,17,Yes,b12b89017878a60d,Caro,Excelente
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,23.11,23.11,17,Yes,c27f6e1f185b0383,Médio,Excelente
Without Borders (Wanderlove #1),New Adult,2,45.07,45.07,16,Yes,acddfeab2a407640,Caro,Ruim
When We Collided,Contemporary,1,31.77,31.77,16,Yes,3ecb690d1542c568,Médio,Péssimo
"We Love You, Charlie Freeman",Fiction,5,50.27,50.27,16,Yes,8d455c7539795d2a,Caro,Excelente
Untitled Collection: Sabbath Poems 2014,Poetry,4,14.27,14.27,16,Yes,657fe5ead67a7767,Barato,Bom
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Nonfiction,4,44.18,44.18,16,Yes,d170b5a0da46380e,Caro,Bom
Unicorn Tracks,Fantasy,3,18.78,18.78,16,Yes,7ae099f3898e0209,Barato,Regular
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",History,1,25.52,25.52,16,Yes,9a9d6e9bc555731e,Médio,Péssimo
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art,1,16.28,16.28,16,Yes,09555be379ad9253,Barato,Péssimo
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Nonfiction,3,31.12,31.12,16,Yes,7858914fad68493c,Médio,Regular
This One Summer,Sequential Art,4,19.49,19.49,16,Yes,51653ef291ab7ddc,Barato,Bom
Thirst,Fiction,5,17.27,17.27,16,Yes,709822d0b5bcb7f4,Barato,Excelente
The Torch Is Passed: A Harding Family Story,Add a comment,1,19.09,19.09,16,Yes,4eed62cf5f8d8edf,Barato,Péssimo
The Secret of Dreadwillow Carse,Childrens,1,56.13,56.13,16,Yes,b5ea0b5dabed25a8,Caro,Péssimo
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Food and Drink,1,56.41,56.41,16,Yes,142d767a56a9254d,Caro,Péssimo
The Past Never Ends,Mystery,4,56.5,56.5,16,Yes,5ee94540d0749ea0,Caro,Bom
The Natural History of Us (The Fine Art of Pretending #2),Young Adult,3,45.22,45.22,16,Yes,cedf82b5086e4691,Caro,Regular
The Nameless City (The Nameless City #1),Sequential Art,4,38.16,38.16,16,Yes,7d385d34d12e60ff,Médio,Bom
The Murder That Never Was (Forensic Instincts #5),Fiction,3,54.11,54.11,16,Yes,d01ac97e2b8947c2,Caro,Regular
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Science,4,42.96,42.96,16,Yes,aadee1c326d286e3,Caro,Bom
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Add a comment,4,23.89,23.89,16,Yes,31075275518532d7,Médio,Bom
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Nonfiction,3,16.77,16.77,16,Yes,0da9aa9d24677fc0,Barato,Regular
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Default,5,20.59,20.59,16,Yes,8c9e6bf2467d740d,Médio,Excelente
The Gutsy Girl: Escapades for Your Life of Epic Adventure,Nonfiction,1,37.13,37.13,16,Yes,acd86a5426e21ca0,Médio,Péssimo
The Electric Pencil: Drawings from Inside State Hospital No. 3,Nonfiction,1,56.06,56.06,16,Yes,a30b270e25489e5c,Caro,Péssimo
The Death of Humanity: and the Case for Life,Philosophy,4,58.11,58.11,16,Yes,bd261725b99f5983,Caro,Bom
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Health,3,49.05,49.05,16,Yes,43c6a960757cf559,Caro,Regular
The Art Forger,Add a comment,3,40.76,40.76,16,Yes,80cfab6bcff3a244,Caro,Regular
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,History,1,19.73,19.73,16,Yes,a3d2a4250807f1e9,Barato,Péssimo
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Spirituality,5,32.24,32.24,16,Yes,7d6d2a6c0276f81b,Médio,Excelente
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Nonfiction,4,41.83,41.83,16,Yes,87b0615b6e1f4d7b,Caro,Bom
Soul Reader,Default,2,39.58,39.58,16,Yes,e6af5bf1163c1151,Médio,Ruim
Security,Horror,2,39.25,39.25,16,Yes,6f78a0d744c35456,Médio,Ruim
"Saga, Volume 6 (Saga (Collected Editions) #6)",Fantasy,3,25.02,25.02,16,Yes,c849f0b2f5d6a742,Médio,Regular
"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art,2,51.04,51.04,16,Yes,53a3d11bb568cc8b,Caro,Ruim
Reskilling America: Learning to Labor in the Twenty-First Century,Nonfiction,2,19.83,19.83,16,Yes,d7310206583a54b6,Barato,Ruim
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,3,50.4,50.4,16,Yes,c82a3e358c773c73,Caro,Regular
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,13.61,13.61,16,Yes,0fa6dceead7ce47a,Barato,Excelente
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,13.34,13.34,16,Yes,0e691eda369f4e09,Barato,Excelente
"Pop Gun War, Volume 1: Gift",Sequential Art,1,18.97,18.97,16,Yes,e80f8e518b300dfe,Barato,Péssimo
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",History,2,36.28,36.28,16,Yes,7392c0032f92d816,Médio,Ruim
Patience,Sequential Art,3,10.16,10.16,16,Yes,9429b4d59c537af5,Barato,Regular
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,4,15.44,15.44,16,Yes,889139b8e9c4cb36,Barato,Bom
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,1,48.41,48.41,16,Yes,11809b1d323b3057,Caro,Péssimo
Online Marketing for Busy Authors: A Step-By-Step Guide,Self Help,1,46.35,46.35,16,Yes,9ffa38d3b832433a,Caro,Péssimo
On a Midnight Clear,Add a comment,3,14.07,14.07,16,Yes,b757c0c361e689ce,Barato,Regular
Obsidian (Lux #1),Young Adult,2,14.86,14.86,16,Yes,3c346ab1e76ae1f6,Barato,Ruim
My Paris Kitchen: Recipes and Stories,Food and Drink,2,33.37,33.37,16,Yes,784bc2279baa878d,Médio,Ruim
Masks and Shadows,Fantasy,2,56.4,56.4,16,Yes,fa9610a50a1bf149,Caro,Ruim
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,14.02,14.02,16,Yes,72f9d5be3472d34e,Barato,Bom
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,46.91,46.91,16,Yes,460089f796fb3f82,Caro,Ruim
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,45.61,45.61,16,Yes,b6ee99bcf06fc91f,Caro,Regular
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,19.92,19.92,16,Yes,57e5a4d515c8ce44,Barato,Ruim
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,40.11,40.11,16,Yes,7b75cc7f223791f4,Caro,Péssimo
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,53.9,53.9,16,Yes,228f74b74f3a08ae,Caro,Ruim
Join,Science Fiction,5,35.67,35.67,16,Yes,18ad3ed896c7ce05,Médio,Excelente
In the Country We Love: My Family Divided,Nonfiction,4,22.0,22.0,16,Yes,b136b1b180ca753a,Médio,Bom
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Science,5,57.36,57.36,16,Yes,e4f74c16de34d440,Caro,Excelente
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,2,29.17,29.17,16,Yes,8d4eefad7a2b3915,Médio,Ruim
I am a Hero Omnibus Volume 1,Sequential Art,3,54.63,54.63,16,Yes,1c89ae5bb804e4de,Caro,Regular
How to Be Miserable: 40 Strategies You Already Use,Self Help,1,46.03,46.03,16,Yes,a6f99b9e687f9d46,Caro,Péssimo
Her Backup Boyfriend (The Sorensen Family #1),Romance,1,33.97,33.97,16,Yes,2a97cffe61c3c4c7,Médio,Péssimo
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,2,22.11,22.11,16,Yes,f2df3bb043a8abb0,Médio,Ruim
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction,3,29.69,29.69,16,Yes,9beb96a2300109d7,Médio,Regular
First and First (Five Boroughs #3),Romance,4,15.97,15.97,16,Yes,9e28048cea8d41f7,Barato,Bom
Fifty Shades Darker (Fifty Shades #2),Romance,1,21.96,21.96,16,Yes,7add3f8e49ec0826,Médio,Péssimo
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Nonfiction,2,54.35,54.35,16,Yes,311c0dd0e354a33e,Caro,Ruim
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Religion,2,37.97,37.97,16,Yes,fce19f9b4a943f22,Médio,Ruim
Danganronpa Volume 1,Sequential Art,4,51.99,51.99,16,Yes,09b6cc87e62c2c58,Caro,Bom
Crown of Midnight (Throne of Glass #2),Fantasy,3,43.29,43.29,16,Yes,7267864328ae8b9d,Caro,Regular
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,4,36.72,36.72,16,Yes,8754c83ab2a7ae71,Médio,Bom
Camp Midnight,Sequential Art,4,17.08,17.08,16,Yes,7b599c8bfcdd8d30,Barato,Bom
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Nonfiction,5,29.14,29.14,16,Yes,bee3672891cca906,Médio,Excelente
Burning,Young Adult,3,28.81,28.81,16,Yes,5ceb951f629700a2,Médio,Regular
Bossypants,Default,2,49.46,49.46,16,Yes,74baabfc8fd84b38,Caro,Ruim
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,2,37.92,37.92,16,Yes,bdf415fd484ea8a7,Médio,Ruim
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Fantasy,2,28.09,28.09,16,Yes,6d5300b2d8f37e07,Médio,Ruim
Algorithms to Live By: The Computer Science of Human Decisions,Nonfiction,1,30.81,30.81,16,Yes,38d45839cb1c83c1,Médio,Péssimo
A World of Flavor: Your Gluten Free Passport,Default,1,42.95,42.95,16,Yes,70ed59f194b3c556,Caro,Péssimo
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Default,5,56.76,56.76,16,Yes,8a380641491d43ed,Caro,Excelente
A Murder in Time,Mystery,1,16.64,16.64,16,Yes,f733e8c19d40ec2e,Barato,Péssimo
A Flight of Arrows (The Pathfinders #2),Historical Fiction,5,55.53,55.53,16,Yes,3a6fb983e2554023,Caro,Excelente
A Fierce and Subtle Poison,Young Adult,4,28.13,28.13,16,Yes,842790dfaa937484,Médio,Bom
A Court of Thorns and Roses (A Court of Thorns and Roses #1),Fantasy,1,52.37,52.37,16,Yes,01d2001ac1e6f8a3,Caro,Péssimo
(Un)Qualified: How God Uses Broken People to Do Big Things,Christian,5,54.0,54.0,16,Yes,e4ac92d89b946781,Caro,Excelente
You Are What You Love: The Spiritual Power of Habit,Religion,4,21.87,21.87,15,Yes,796c87ddbbaaf8c5,Médio,Bom
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",Science Fiction,4,43.3,43.3,15,Yes,9270575728a13a61,Caro,Bom
Tuesday Nights in 1980,Fiction,2,21.04,21.04,15,Yes,b8736690cf263a3c,Médio,Ruim
Tracing Numbers on a Train,Default,3,41.6,41.6,15,Yes,d7d6d50c1e3d0b81,Caro,Regular
Throne of Glass (Throne of Glass #1),Fantasy,3,35.07,35.07,15,Yes,590a9cccf7db9f7d,Médio,Regular
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,History,1,59.64,59.64,15,Yes,de3f25248ba0789f,Caro,Péssimo
Thirteen Reasons Why,Default,1,52.72,52.72,15,Yes,bc2a85fd35fdc7bd,Caro,Péssimo
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,Childrens,4,58.08,58.08,15,Yes,37c0cb19713d8dda,Caro,Bom
The Wedding Dress,Romance,1,24.12,24.12,15,Yes,623e1a180426039b,Médio,Péssimo
The Vacationers,Fiction,4,42.15,42.15,15,Yes,fd3a622648667296,Caro,Bom
The Third Wave: An Entrepreneurâs Vision of the Future,Business,5,12.61,12.61,15,Yes,3bebf34ee9330cbd,Barato,Excelente
The Stranger,Philosophy,4,17.44,17.44,15,Yes,f5a92cff83897d48,Barato,Bom
The Shadow Hero (The Shadow Hero),Sequential Art,1,33.14,33.14,15,Yes,d6361d16212664ed,Médio,Péssimo
The Secret (The Secret #1),Default,4,27.37,27.37,15,Yes,961f18db4f138211,Médio,Bom
The Regional Office Is Under Attack!,Fiction,5,51.36,51.36,15,Yes,0651062381f0636a,Caro,Excelente
The Psychopath Test: A Journey Through the Madness Industry,Default,2,36.0,36.0,15,Yes,e98a4efa85070c2f,Médio,Ruim
The Project,Science Fiction,1,10.65,10.65,15,Yes,790ef197c8f236f5,Barato,Péssimo
The Power of Now: A Guide to Spiritual Enlightenment,Nonfiction,2,43.54,43.54,15,Yes,8ec14b1576cb7cb5,Caro,Ruim
The Omnivore's Dilemma: A Natural History of Four Meals,Nonfiction,2,38.21,38.21,15,Yes,209adad1015af86f,Médio,Ruim
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,Food and Drink,5,37.34,37.34,15,Yes,e4c7f3487d17fd42,Médio,Excelente
The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,4,44.1,44.1,15,Yes,c7b5183f4d1d4efe,Caro,Bom
The Mistake (Off-Campus #2),New Adult,3,43.29,43.29,15,Yes,99ff4cc6491e8f5c,Caro,Regular
The Matchmaker's Playbook (Wingmen Inc. #1),New Adult,1,55.85,55.85,15,Yes,08db62f24627e71f,Caro,Péssimo
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,Food and Drink,2,37.6,37.6,15,Yes,e28e330cbdf01126,Médio,Ruim
The Long Shadow of Small Ghosts: Murder and Memory in an American City,Crime,1,10.97,10.97,15,Yes,abeafe151a587d3b,Barato,Péssimo
The Kite Runner,Default,4,41.82,41.82,15,Yes,eac1a180047ad54e,Caro,Bom
The House by the Lake,Historical Fiction,1,36.95,36.95,15,Yes,9287e238d7c3b06e,Médio,Péssimo
The Glittering Court (The Glittering Court #1),Fantasy,1,44.28,44.28,15,Yes,2dbb7ec08cdd7f3c,Caro,Péssimo
The Girl on the Train,Default,2,55.02,55.02,15,Yes,e956d67c9bcc5809,Caro,Ruim
The Genius of Birds,Nonfiction,1,17.24,17.24,15,Yes,42d0d7c92b75fc1c,Barato,Péssimo
The Emerald Mystery,Default,2,23.15,23.15,15,Yes,d6670dfe3e7b42bd,Médio,Ruim
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,Food and Drink,1,41.25,41.25,15,Yes,96a38e7c813d8f1d,Caro,Péssimo
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,Default,3,32.0,32.0,15,Yes,efc3768127714ec3,Médio,Regular
The Artist's Way: A Spiritual Path to Higher Creativity,Nonfiction,5,38.49,38.49,15,Yes,dd047728de72ad62,Médio,Excelente
The Art of War,Default,5,33.34,33.34,15,Yes,e7469e22b5bfb3e7,Médio,Excelente
The Argonauts,Autobiography,2,10.93,10.93,15,Yes,c99761a700ade23f,Barato,Ruim
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Business,3,27.55,27.55,15,Yes,56e4f9eab2e8e674,Médio,Regular
Suddenly in Love (Lake Haven #1),Romance,2,55.99,55.99,15,Yes,203b7f94b7d6115f,Caro,Ruim
Something More Than This,Romance,4,16.24,16.24,15,Yes,ca71e72655bece85,Barato,Bom
Soft Apocalypse,Science Fiction,2,26.12,26.12,15,Yes,2a70769cdc6eb8b8,Médio,Ruim
So You've Been Publicly Shamed,Nonfiction,2,12.23,12.23,15,Yes,1b33663ad7b95fd8,Barato,Ruim
Shoe Dog: A Memoir by the Creator of NIKE,Business,2,23.99,23.99,15,Yes,0e0dcc3339602b28,Médio,Ruim
"Shobu Samurai, Project Aryoku (#3)",Add a comment,3,29.06,29.06,15,Yes,0c27e6c3744fc14b,Médio,Regular
Secrets and Lace (Fatal Hearts #1),Default,1,20.27,20.27,15,Yes,ad04ad9fc179fc5d,Médio,Péssimo
Scarlett Epstein Hates It Here,Young Adult,5,43.55,43.55,15,Yes,1c929cfd16b71907,Caro,Excelente
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,1,36.94,36.94,15,Yes,e656e280bc8edd56,Médio,Péssimo
Redeeming Love,Christian Fiction,5,20.47,20.47,15,Yes,b53db2271c9624f7,Médio,Excelente
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,1,41.06,41.06,15,Yes,d9c643fa1fc57bdb,Caro,Péssimo
Poems That Make Grown Women Cry,Poetry,4,14.19,14.19,15,Yes,31001a1210623bd4,Barato,Bom
"Nightingale, Sing",Young Adult,1,38.28,38.28,15,Yes,50b8f80311b31ede,Médio,Péssimo
Night Sky with Exit Wounds,Poetry,1,41.05,41.05,15,Yes,cfeb1e1e0e695b58,Caro,Péssimo
Mrs. Houdini,Historical Fiction,5,30.25,30.25,15,Yes,a40723994f715420,Médio,Excelente
Modern Romance,Add a comment,5,28.26,28.26,15,Yes,caf4fe9311f1dc59,Médio,Excelente
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),Default,1,10.76,10.76,15,Yes,af96613fdd793a3c,Barato,Péssimo
Louisa: The Extraordinary Life of Mrs. Adams,Biography,2,16.85,16.85,15,Yes,d69dd8dac66f9f84,Barato,Ruim
Little Red,Childrens,3,13.47,13.47,15,Yes,4aa03792b50f0b22,Barato,Regular
Library of Souls (Miss Peregrineâs Peculiar Children #3),Young Adult,5,48.56,48.56,15,Yes,ba54932df84e8cea,Caro,Excelente
Large Print Heart of the Pride,Default,2,19.15,19.15,15,Yes,c1afd71fc86bf682,Barato,Ruim
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,4,57.36,57.36,15,Yes,fd8585283fc7d2d7,Caro,Bom
Hollow City (Miss Peregrineâs Peculiar Children #2),Fantasy,1,42.98,42.98,15,Yes,4ce91d31c1e57c33,Caro,Péssimo
Grumbles,Default,2,22.16,22.16,15,Yes,d163dd6c352fbcd2,Médio,Ruim
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel,4,49.43,49.43,15,Yes,ce60436f52c5ee68,Caro,Bom
Frostbite (Vampire Academy #2),Young Adult,5,29.99,29.99,15,Yes,116a2fdc9a45bab0,Médio,Excelente
Follow You Home,Horror,1,21.36,21.36,15,Yes,8585760646e3aa2a,Médio,Péssimo
First Steps for New Christians (Print Edition),Default,1,29.0,29.0,15,Yes,2f88b08bf0a0e367,Médio,Péssimo
Finders Keepers (Bill Hodges Trilogy #2),Fiction,5,53.53,53.53,15,Yes,edb3097e71330040,Caro,Excelente
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,4,41.62,41.62,15,Yes,65d034adf80834b7,Caro,Bom
Eureka Trivia 6.0,Default,4,54.59,54.59,15,Yes,29c0025455f8c585,Caro,Bom
Drive: The Surprising Truth About What Motivates Us,Default,4,34.95,34.95,15,Yes,6ffb36aaeff1c81e,Médio,Bom
Done Rubbed Out (Reightman & Bailey #1),Default,5,37.72,37.72,15,Yes,f6d967cdadc6fbd9,Médio,Excelente
Doing It Over (Most Likely To #1),Romance,3,35.61,35.61,15,Yes,3a11bb962ff45b78,Médio,Regular
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Food and Drink,3,42.16,42.16,15,Yes,46c1530d7546ea6d,Caro,Regular
Dark Notes,Erotica,5,19.19,19.19,15,Yes,88c21fcd38e2486e,Barato,Excelente
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Nonfiction,3,19.43,19.43,15,Yes,3b9a3b4624b7fd6d,Barato,Regular
Close to You,Christian Fiction,4,49.46,49.46,15,Yes,a57b1dcbd6849222,Caro,Bom
Chasing Heaven: What Dying Taught Me About Living,Spirituality,2,37.8,37.8,15,Yes,513271dadc1322ae,Médio,Ruim
Big Magic: Creative Living Beyond Fear,Nonfiction,3,30.8,30.8,15,Yes,1f329c2e7d7de8bd,Médio,Regular
Becoming Wise: An Inquiry into the Mystery and Art of Living,Nonfiction,2,27.43,27.43,15,Yes,919e7cb2269a25d2,Médio,Ruim
Beauty Restored (Riley Family Legacy Novellas #3),Default,2,11.11,11.11,15,Yes,3f69e667a67e54d9,Barato,Ruim
Batman: The Long Halloween (Batman),Sequential Art,2,36.5,36.5,15,Yes,7edc0527cf782e19,Médio,Ruim
Batman: The Dark Knight Returns (Batman),Sequential Art,5,15.38,15.38,15,Yes,47271d8e08b5d31c,Barato,Excelente
Ayumi's Violin,Default,2,15.48,15.48,15,Yes,05f7c6d9a4e582d3,Barato,Ruim
Anonymous,Default,4,46.82,46.82,15,Yes,d24b829be2ca81c4,Caro,Bom
Amy Meets the Saints and Sages,Default,3,18.46,18.46,15,Yes,7ebfa6c1bee69e1e,Barato,Regular
Amid the Chaos,Cultural,1,36.58,36.58,15,Yes,bb8245f52c7cce8f,Médio,Péssimo
Amatus,Default,5,50.54,50.54,15,Yes,ffd54178acc9a6a5,Caro,Excelente
Agnostic: A Spirited Manifesto,Nonfiction,5,12.51,12.51,15,Yes,d195e7f4ed697350,Barato,Excelente
Zealot: The Life and Times of Jesus of Nazareth,History,3,24.7,24.7,14,Yes,dd5bfa6cc2c0ecc3,Médio,Regular
You (You #1),Thriller,5,43.61,43.61,14,Yes,024387ca4cafd5cc,Caro,Excelente
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,4,37.34,37.34,14,Yes,047097293bb4d1c0,Médio,Bom
Wild Swans,Young Adult,2,14.36,14.36,14,Yes,3fb15ace50d6142b,Barato,Ruim
